"2023/04/17 5:07:33 PM GMT+5:30","No Experience","23","Female","5","7","8","8","8","4","7","7","6","8","4","6","6","8","6","3","5","5","5","5","7","6","6","7","7","3","6","5","5","3","4","5","5","5","5","3","5","5","3","6","5","3","4","3","5","7","4","5","4","4","7","6","6","7","7","1","4","3","5","5","7","5","6","6","7","7","7","8","6","10","3","4","3","3","4","8","5","4","4","3","3","5","5","4","2","6","6","5","5","5","4","4","4","4","3","6","4","4","3","3"
"2023/04/17 5:15:16 PM GMT+5:30","No Experience","20","Male","5","8","8","8","9","7","8","8","8","9","8","6","6","8","6","4","5","4","4","7","9","8","9","7","8","4","7","4","4","6","8","9","9","8","9","7","8","8","8","9","7","9","9","7","9","8","7","6","7","7","10","9","9","10","8","4","8","6","7","10","5","5","5","4","5","7","7","8","6","8","6","6","7","6","10","1","1","1","1","1","3","2","3","2","2","5","4","4","4","5","8","4","6","5","5","7","6","5","6","7"
"2023/04/17 5:15:28 PM GMT+5:30","No Experience","26","Male","7","8","6","6","7","7","6","7","7","8","6","6","7","7","6","7","7","6","7","8","8","7","9","7","7","5","5","5","6","7","7","6","7","6","6","6","6","7","7","8","8","7","7","7","8","8","7","8","7","7","9","8","9","8","7","6","5","5","6","7","6","6","5","6","7","7","8","7","7","8","7","8","7","8","9","8","7","8","7","7","8","7","9","8","7","7","8","7","7","8","7","8","7","7","8","6","6","7","7","7"
"2023/04/17 5:18:17 PM GMT+5:30","No Experience","20","Male","6","8","6","5","7","7","7","7","8","8","9","7","7","6","5","5","6","5","6","8","8","8","7","5","6","5","4","5","5","4","7","7","9","7","8","6","7","7","6","7","6","7","7","5","5","6","6","10","8","7","5","6","8","7","7","5","5","5","6","5","5","6","6","6","6","7","7","9","9","8","8","9","9","9","9","5","5","4","3","3","4","4","4","5","5","7","7","9","7","8","6","5","7","6","6","6","5","6","6","6"
"2023/04/17 5:20:47 PM GMT+5:30","Greater than 3 years","21","Female","6","3","7","3","5","3","6","4","5","4","5","7","5","3","4","2","2","3","1","5","7","5","4","7","4","3","3","2","1","4","6","6","7","6","6","5","3","5","6","7","5","6","4","5","4","4","5","6","7","4","6","7","7","6","6","5","3","4","2","6","3","2","2","2","7","6","7","5","4","8","6","4","4","6","8","2","2","2","2","1","8","4","4","6","2","7","7","7","7","7","6","4","6","3","6","6","3","5","2","6"
"2023/04/17 5:24:59 PM GMT+5:30","Greater than 3 years","19","Male","3","7","4","7","8","6","4","8","8","8","3","2","9","9","7","4","6","3","7","6","10","10","8","10","3","2","2","4","4","5","9","7","7","7","7","3","1","7","4","9","5","4","7","6","8","10","10","10","10","3","8","8","10","9","7","8","1","8","7","4","3","2","5","4","7","4","4","6","3","2","10","8","9","10","9","8","2","3","5","2","8","3","7","2","3","4","3","8","7","7","6","6","10","10","2","3","3","5","6","6"
"2023/04/17 5:27:57 PM GMT+5:30","No Experience","21","Male","8","7","8","8","9","7","7","6","6","7","6","6","5","6","5","7","7","8","8","7","9","8","7","8","9","5","4","4","5","5","7","7","7","7","7","6","5","7","6","6","3","3","4","3","4","6","7","6","6","6","7","8","7","8","8","6","6","5","5","5","6","5","6","6","5","7","7","7","7","7","7","8","8","8","8","5","6","7","6","5","7","7","7","7","7","7","6","8","7","8","8","8","8","8","9","8","8","9","9","9"
"2023/04/17 5:53:53 PM GMT+5:30","No Experience","20","Male","7","6","8","6","8","5","7","6","7","7","7","8","6","7","9","5","7","6","5","7","6","7","7","6","7","7","6","7","6","5","7","7","5","7","7","6","5","6","8","8","6","5","6","9","4","7","8","5","7","6","5","4","8","6","7","8","7","6","7","8","7","6","8","7","7","7","6","8","9","6","6","5","6","6","8","7","6","8","7","8","7","6","7","7","7","6","7","8","5","7","5","7","9","5","6","6","5","8","7","7"
"2023/04/17 5:58:28 PM GMT+5:30","Greater than 3 years","21","Female","3","3","6","6","8","3","4","7","6","6","8","8","8","8","9","4","4","7","6","7","10","10","9","8","7","3","3","9","8","8","9","9","9","7","10","3","5","7","8","10","6","6","7","8","10","10","10","9","9","7","10","10","9","9","6","5","8","7","7","9","5","8","8","7","9","8","9","9","9","10","4","5","8","8","10","9","9","8","8","6","9","9","8","8","6","4","6","8","7","9","6","6","8","8","9","10","9","9","9","9"
"2023/04/17 6:04:21 PM GMT+5:30","No Experience","19","Female","5","5","8","6","8","4","5","7","5","6","8","7","7","6","4","3","7","7","6","9","9","8","9","8","6","5","5","7","5","7","7","7","8","7","6","7","7","8","7","7","9","8","10","9","7","7","6","8","7","7","5","5","5","5","7","5","5","7","7","8","5","6","7","7","7","5","6","8","7","8","4","6","6","7","9","4","4","4","4","4","5","6","8","8","8","5","7","8","8","8","7","7","8","7","7","5","5","5","6","6"
"2023/04/17 6:19:12 PM GMT+5:30","No Experience","20","Male","1","3","4","3","5","7","3","2","7","8","4","1","3","2","5","5","5","3","4","8","10","8","4","10","10","8","1","1","6","5","10","7","6","10","10","5","1","4","7","7","1","1","2","9","6","7","9","4","10","10","4","7","4","7","9","9","1","2","8","4","5","1","2","5","4","10","5","7","10","10","7","3","6","4","8","7","1","1","4","6","7","3","5","6","7","10","8","7","10","10","5","10","3","6","6","7","3","4","7","6"
"2023/04/17 6:35:26 PM GMT+5:30","No Experience","20","Male","8","9","5","6","7","6","10","7","6","9","9","4","6","3","5","4","3","3","8","8","10","10","4","8","8","1","1","1","6","6","3","8","8","8","5","4","5","7","9","9","8","8","8","10","9","8","10","8","9","6","6","9","10","9","5","1","1","6","4","2","1","1","3","3","2","4","8","8","8","7","1","1","9","9","9","7","4","2","3","6","8","5","5","5","6","3","10","6","8","6","1","9","8","8","4","1","5","7","7","4"
"2023/04/17 6:55:32 PM GMT+5:30","No Experience","20","Male","4","4","4","4","5","5","5","5","6","5","5","5","5","5","5","5","5","5","5","5","5","3","5","6","6","6","5","5","6","5","5","5","3","5","7","4","10","5","4","6","6","8","8","9","6","4","4","5","4","4","1","1","1","1","1","1","3","4","9","5","6","8","7","7","6","4","4","6","5","4","5","5","5","5","5","5","5","6","5","5","5","5","5","6","6","5","5","6","5","5","7","6","5","7","5","10","6","2","6","2"
"2023/04/17 7:43:53 PM GMT+5:30","No Experience","22","Female","7","6","8","7","9","9","9","8","10","9","10","9","8","9","7","9","8","8","6","8","9","8","7","9","8","9","9","8","9","9","9","9","6","10","8","9","9","9","9","10","9","9","8","9","9","9","9","9","8","10","8","8","9","9","9","9","5","7","6","10","9","9","8","8","10","9","9","9","9","9","10","9","9","9","10","9","9","8","9","10","9","9","8","9","8","6","7","9","10","10","10","10","9","9","10","9","9","9","9","10"
"2023/04/17 9:31:05 PM GMT+5:30","No Experience","21","Male","8","7","9","5","8","6","9","9","7","9","7","9","8","8","7","7","8","8","9","9","7","9","7","8","9","7","7","8","9","9","8","8","7","7","9","8","8","9","9","9","6","7","8","9","9","7","9","8","8","8","7","7","8","9","9","8","8","7","8","8","7","8","8","9","10","9","8","8","8","8","8","9","7","7","7","8","8","8","9","9","7","6","8","8","7","7","7","7","8","9","7","8","6","7","9","7","7","7","8","8"
"2023/04/17 10:07:40 PM GMT+5:30","No Experience","20","Male","5","4","4","5","8","2","7","6","9","9","7","7","7","8","7","1","8","9","10","10","8","6","8","6","4","4","8","7","9","9","8","7","6","8","7","6","8","9","8","10","1","4","4","4","5","7","8","9","8","8","8","6","9","8","8","1","7","6","7","9","1","7","8","9","10","4","6","8","7","8","2","8","8","8","10","6","4","4","7","8","4","7","8","8","9","3","6","7","8","8","3","8","7","8","9","2","7","8","9","10"
"2023/04/17 10:41:39 PM GMT+5:30","Greater than 3 years","21","Male","4","8","3","5","4","6","4","6","5","3","2","3","2","2","3","3","7","5","4","5","9","9","8","6","6","1","1","2","5","7","6","7","7","9","7","6","3","7","8","8","2","2","3","5","5","10","9","9","9","8","8","10","7","7","5","3","5","3","3","4","1","8","1","4","6","8","9","6","5","8","7","3","7","8","8","7","10","7","7","4","3","3","5","4","5","9","8","8","8","8","7","8","8","8","8","6","7","6","8","6"
"2023/04/17 10:42:43 PM GMT+5:30","Greater than 3 years","53","Male","8","7","8","2","8","9","6","6","2","7","9","9","7","3","9","9","8","8","3","9","2","4","4","1","3","3","4","3","3","4","8","8","8","3","8","8","9","6","4","8","9","9","7","5","9","9","8","7","5","6","7","6","5","5","7","5","5","3","2","5","8","8","7","5","8","6","7","6","3","6","7","6","6","3","6","1","1","1","1","1","1","1","1","1","1","8","9","8","5","7","6","6","6","4","7","5","5","4","5","5"
"2023/04/17 11:20:01 PM GMT+5:30","3 years - 1 Year","27","Male","6","6","5","5","5","5","6","7","5","6","7","4","8","6","7","4","4","4","4","3","5","5","5","5","5","5","5","3","7","8","4","4","6","5","5","4","7","3","5","6","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","7","5","7","6","3","1","9","5","8","7","9","10","8","6","5","7","5","6","6","7","5","3","8","6","7","5","6","6","5","7","6","7","6","5","6","6"
"2023/04/17 11:35:01 PM GMT+5:30","Greater than 3 years","21","Male","6","10","4","5","7","8","4","8","8","7","9","6","6","10","5","9","5","4","7","9","10","6","10","9","7","5","1","6","3","8","7","8","3","6","4","6","3","9","6","6","6","9","6","2","6","10","8","10","8","6","10","10","10","7","8","5","4","6","6","8","6","4","10","6","8","5","3","8","6","8","7","7","10","10","10","3","5","3","6","2","8","1","5","6","8","10","4","10","9","10","8","10","10","7","7","5","4","7","2","4"
"2023/04/17 11:39:06 PM GMT+5:30","Greater than 3 years","26","Prefer not to say","7","8","6","9","6","6","3","8","7","8","7","3","5","5","5","9","9","9","9","9","10","9","9","8","4","3","1","3","3","8","9","7","10","7","7","5","1","5","5","5","6","5","5","7","7","9","9","10","10","10","10","10","8","10","7","4","2","4","5","8","7","4","6","4","7","9","7","10","8","10","5","3","7","7","10","4","7","6","6","7","3","1","2","2","2","7","4","8","8","9","7","5","8","8","9","6","2","9","7","5"
"2023/04/17 11:52:25 PM GMT+5:30","No Experience","20","Male","4","8","8","6","8","7","3","7","6","8","8","3","5","7","5","6","7","8","8","7","10","8","5","5","4","8","7","8","5","7","8","8","9","8","8","7","7","4","5","8","2","4","3","2","6","7","6","7","4","5","8","7","7","6","6","7","3","6","6","8","7","7","9","6","9","5","8","7","4","7","5","2","2","3","8","8","2","2","2","5","9","7","5","5","4","6","9","9","9","7","4","7","7","4","7","6","4","3","6","8"
"2023/04/17 11:53:34 PM GMT+5:30","Greater than 3 years","22","Male","2","7","4","4","7","4","2","7","5","8","7","5","6","8","6","6","7","8","7","7","8","9","7","8","4","6","2","7","6","7","7","8","8","7","5","7","3","6","4","7","3","5","6","5","8","8","5","8","6","4","7","4","8","6","6","5","2","6","4","5","8","4","8","7","7","7","7","8","6","7","6","4","6","3","5","8","8","8","8","5","8","2","6","7","7","4","6","6","4","6","4","6","6","4","7","6","4","4","4","5"
"2023/04/17 11:58:58 PM GMT+5:30","Greater than 3 years","19","Male","8","8","7","8","9","9","8","9","9","9","7","6","8","8","8","6","8","5","6","8","9","9","7","9","8","4","3","3","3","5","8","8","8","9","9","8","6","8","8","8","6","8","7","7","7","8","8","8","7","7","9","8","9","8","8","6","7","6","6","6","6","6","6","6","7","7","7","6","7","7","8","7","8","8","8","6","5","7","6","6","4","1","4","4","4","8","8","8","8","8","6","4","6","5","7","7","4","6","7","8"
"2023/04/18 2:29:51 AM GMT+5:30","Greater than 3 years","21","Male","2","2","3","3","5","4","4","6","5","6","4","6","5","6","6","5","6","5","6","6","5","6","7","3","6","9","5","5","3","5","6","7","7","6","6","5","4","4","5","6","7","5","6","6","6","6","5","7","7","6","6","6","6","7","8","4","4","4","3","3","3","3","2","2","1","3","3","5","4","5","4","4","3","4","3","7","7","7","7","8","5","5","7","6","10","3","4","4","2","5","3","3","4","5","3","5","5","7","6","6"
"2023/04/18 5:01:43 AM GMT+5:30","Less than 1 Year","19","Male","8","8","4","3","3","7","5","9","7","7","9","6","6","8","4","8","7","5","7","4","9","7","5","7","4","4","2","7","7","5","9","8","9","9","8","9","7","8","8","8","4","4","8","7","4","5","7","5","6","3","9","6","6","8","7","6","3","7","7","7","7","5","8","8","4","9","9","6","9","8","7","6","8","9","9","8","4","5","6","6","6","4","6","7","4","8","8","6","8","7","8","7","8","8","7","8","8","6","8","9"
"2023/04/18 11:52:44 AM GMT+5:30","No Experience","22","Female","7","8","6","8","10","10","3","9","9","10","4","3","7","10","7","6","7","8","7","6","7","6","8","5","7","7","3","4","4","8","7","10","5","7","7","9","3","8","8","10","4","1","4","3","7","6","10","10","10","3","8","8","10","6","9","1","1","2","1","7","6","4","7","9","4","7","8","9","5","8","9","4","10","10","9","6","5","4","3","4","7","6","8","6","4","10","8","10","9","8","9","9","10","10","8","8","9","8","9","7"
"2023/04/18 1:16:58 PM GMT+5:30","Greater than 3 years","21","Female","7","8","3","7","4","8","4","6","4","7","5","4","4","4","4","8","6","5","7","6","7","5","4","4","4","5","7","6","6","8","6","7","7","8","7","6","6","5","4","8","7","7","6","6","8","7","7","7","8","7","7","7","6","6","5","4","6","5","4","7","4","7","6","5","6","6","6","7","7","5","5","4","4","4","6","4","3","3","3","4","4","2","3","3","2","7","5","6","6","6","6","5","7","8","7","6","7","8","8","9"
"2023/04/18 2:04:16 PM GMT+5:30","Greater than 3 years","21","Male","7","6","9","6","8","5","4","10","8","6","7","6","6","5","4","3","3","6","4","8","10","8","4","8","5","3","3","5","5","6","10","6","8","6","3","8","2","7","3","9","7","2","6","3","7","9","9","8","7","4","10","6","6","4","5","3","1","4","3","3","4","4","6","4","4","6","5","4","3","9","6","2","4","4","6","4","7","4","6","6","9","1","6","6","4","10","6","10","7","8","8","7","4","4","7","7","3","5","4","7"
"2023/04/18 8:01:45 PM GMT+5:30","Greater than 3 years","20","Male","6","6","4","3","3","7","6","7","4","5","7","5","4","3","4","1","2","6","4","1","10","9","6","9","4","1","3","4","2","1","6","9","6","10","5","8","6","6","9","6","3","5","7","5","3","8","10","6","8","10","9","5","6","7","7","1","2","5","3","4","1","2","4","3","3","6","7","5","9","7","3","3","8","4","6","10","6","7","6","7","6","4","8","5","4","4","7","8","5","5","1","2","7","5","2","7","7","10","6","8"
"2023/04/19 12:27:16 AM GMT+5:30","Greater than 3 years","21","Male","4","7","2","2","5","5","8","8","6","9","9","6","1","7","3","3","7","1","9","10","9","7","9","9","4","2","5","8","6","8","10","10","9","8","9","9","8","6","7","10","8","7","4","8","9","10","10","9","8","5","10","10","10","10","9","6","10","8","6","9","9","8","9","7","10","3","8","6","9","10","3","8","4","8","9","1","3","2","4","2","6","6","3","3","1","4","7","5","6","7","8","6","6","7","9","9","7","8","4","9"
"2023/04/24 1:21:01 AM GMT+5:30","No Experience","20","Male","6","7","3","2","2","6","6","7","3","3","7","7","7","2","4","6","4","5","3","6","8","8","7","5","5","7","7","7","5","7","7","6","7","5","7","8","8","8","5","7","7","8","7","6","8","7","7","6","7","5","5","7","6","8","5","5","7","7","5","4","7","4","6","8","6","8","8","7","6","8","7","7","8","6","6","6","6","7","6","8","9","8","7","7","8","6","6","8","4","5","5","5","7","4","5","4","5","4","5","6"